eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params,train_time,best_epoch
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.836134570561766)","('test_acc', 0.6964380719301979)","('test_f1', 0.6494297823983672)","('test_prec', 0.6503318730085728)","('test_reca', 0.6964380719301979)","('test_roc', 0.94497900062272)","('pytorch_total_params', 36224)","('train_time', 314.20142698287964)","('best_epoch', 574)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.978832143574325)","('test_acc', 0.5478559267929347)","('test_f1', 0.49870834515878815)","('test_prec', 0.5049521758422915)","('test_reca', 0.5478559267929346)","('test_roc', 0.8897659457800655)","('pytorch_total_params', 36224)","('train_time', 142.31424117088318)","('best_epoch', 249)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.878437662256553)","('test_acc', 0.6491806767397319)","('test_f1', 0.5932205631849168)","('test_prec', 0.6155117716683299)","('test_reca', 0.6491806767397318)","('test_roc', 0.9289735183743559)","('pytorch_total_params', 36224)","('train_time', 140.87648057937622)","('best_epoch', 246)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9119609738187755)","('test_acc', 0.6229915939561609)","('test_f1', 0.5624178252120107)","('test_prec', 0.5831159379126979)","('test_reca', 0.622991593956161)","('test_roc', 0.9182955864542116)","('pytorch_total_params', 36224)","('train_time', 104.71506094932556)","('best_epoch', 179)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8862676904870743)","('test_acc', 0.6389856884443499)","('test_f1', 0.5751608678390973)","('test_prec', 0.5854372458237147)","('test_reca', 0.6389856884443499)","('test_roc', 0.926554159810292)","('pytorch_total_params', 36224)","('train_time', 105.73141264915466)","('best_epoch', 176)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.825574859656484)","('test_acc', 0.7013061289636093)","('test_f1', 0.6540271863414231)","('test_prec', 0.6550582536514369)","('test_reca', 0.7013061289636093)","('test_roc', 0.9587012400604422)","('pytorch_total_params', 36224)","('train_time', 150.08623933792114)","('best_epoch', 262)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.7638070035117765)","('test_acc', 0.7715803894445626)","('test_f1', 0.7383117707862574)","('test_prec', 0.7474226138993751)","('test_reca', 0.7715803894445626)","('test_roc', 0.9743429784522096)","('pytorch_total_params', 36224)","('train_time', 428.06880831718445)","('best_epoch', 776)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8363976047556054)","('test_acc', 0.6961321557778251)","('test_f1', 0.66335507321024)","('test_prec', 0.6672480090769697)","('test_reca', 0.6961321557778251)","('test_roc', 0.959179183469762)","('pytorch_total_params', 36224)","('train_time', 119.52653384208679)","('best_epoch', 204)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9831406191375107)","('test_acc', 0.5408065545860822)","('test_f1', 0.46241675511590696)","('test_prec', 0.45921533870374076)","('test_reca', 0.5408065545860822)","('test_roc', 0.8782361206979536)","('pytorch_total_params', 36224)","('train_time', 136.54221940040588)","('best_epoch', 237)"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.16)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.7747774146723985)","('test_acc', 0.7531788678442222)","('test_f1', 0.7337927425277413)","('test_prec', 0.7541955906675035)","('test_reca', 0.7531788678442222)","('test_roc', 0.979651267625216)","('pytorch_total_params', 36224)","('train_time', 1657.9925394058228)","('best_epoch', 2910)"
