eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params,train_time,best_epoch
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8531108009584356)","('test_acc', 0.6921618961481166)","('test_f1', 0.6537109213589247)","('test_prec', 0.7060650038832105)","('test_reca', 0.6921618961481166)","('test_roc', 0.9540567606290435)","('pytorch_total_params', 34016)","('train_time', 553.7055015563965)","('best_epoch', 1167)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.926831599067287)","('test_acc', 0.6050622472866567)","('test_f1', 0.5505095327716159)","('test_prec', 0.5546207437125438)","('test_reca', 0.6050622472866567)","('test_roc', 0.9018872483508298)","('pytorch_total_params', 34016)","('train_time', 193.3769953250885)","('best_epoch', 393)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.886347307603799)","('test_acc', 0.6461614173228346)","('test_f1', 0.5917983842521135)","('test_prec', 0.5907101886107391)","('test_reca', 0.6461614173228347)","('test_roc', 0.9272539037453896)","('pytorch_total_params', 34016)","('train_time', 150.3454406261444)","('best_epoch', 298)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.874523177885659)","('test_acc', 0.6582118535858693)","('test_f1', 0.6019298274704944)","('test_prec', 0.58735753393866)","('test_reca', 0.6582118535858693)","('test_roc', 0.931362422280177)","('pytorch_total_params', 34016)","('train_time', 854.7287986278534)","('best_epoch', 1844)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.881551955400261)","('test_acc', 0.6544145030857629)","('test_f1', 0.6025724692158873)","('test_prec', 0.6047229622207346)","('test_reca', 0.654414503085763)","('test_roc', 0.9271009612599941)","('pytorch_total_params', 34016)","('train_time', 141.726464509964)","('best_epoch', 276)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9303210750745445)","('test_acc', 0.6100965630985316)","('test_f1', 0.5442372155929833)","('test_prec', 0.5794899718494944)","('test_reca', 0.6100965630985316)","('test_roc', 0.9399745700742315)","('pytorch_total_params', 34016)","('train_time', 126.56926488876343)","('best_epoch', 242)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8720590254174163)","('test_acc', 0.6569682379229623)","('test_f1', 0.6092930790430616)","('test_prec', 0.644033282950512)","('test_reca', 0.6569682379229622)","('test_roc', 0.9552923728747384)","('pytorch_total_params', 34016)","('train_time', 2014.286094903946)","('best_epoch', 4374)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0047332098139528)","('test_acc', 0.5297935731006597)","('test_f1', 0.4388205573336379)","('test_prec', 0.44776523073328217)","('test_reca', 0.5297935731006598)","('test_roc', 0.8683740814568919)","('pytorch_total_params', 34016)","('train_time', 107.09409618377686)","('best_epoch', 208)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9516548814355477)","('test_acc', 0.5962638327303682)","('test_f1', 0.5370455304590462)","('test_prec', 0.5443940803241984)","('test_reca', 0.5962638327303682)","('test_roc', 0.9192334607733497)","('pytorch_total_params', 34016)","('train_time', 107.28532600402832)","('best_epoch', 206)"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.16)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9203993213204633)","('test_acc', 0.6174319004043414)","('test_f1', 0.5515035573356886)","('test_prec', 0.5515588214603826)","('test_reca', 0.6174319004043414)","('test_roc', 0.9270872877255251)","('pytorch_total_params', 34016)","('train_time', 547.3175482749939)","('best_epoch', 1139)"
