eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.2456960291593235)","('test_acc', 0.291382058287796)","('test_f1', 0.32008374736644274)","('test_prec', 0.45596040458563847)","('test_reca', 0.291382058287796)","('test_roc', 0.6443090417448099)","('mean_train_loss', 2.5794641971588135)","('train_acc', 0.9375)","('train_f1', 0.9333333333333333)","('train_prec', 0.9583333333333333)","('train_reca', 0.9375)","('train_roc', 0.9944556451612903)","('mean_val_loss', 3.2479477095603944)","('val_acc', 0.2846875)","('val_f1', 0.31533645391028037)","('val_prec', 0.4503086689046)","('val_reca', 0.2846875)","('val_roc', 0.6409614415322581)","('pytorch_total_params', 66849)","('train_time', 1114.403240442276)","('best_epoch', 314)","('experiment_id', '1094')","('train_samples', '919 510')","('val_samples', '1014 807 201 1111 834 225 804 941 827 808 792 954 448 423 130 129 695 924 466 52 687 485 501 15 94 532 1065 472 340 22 1153 282 891 680 742 590 376 224 361 180 205 732 210 698 661 1085 355 818 610 464 45 297 885 41 981 1048 515 1025 1182 636 817 793 84 256 630 811 231 8 415 929 772 536 738 1084 713 632 718 667 905 267 293 59 1054 825 118 887 980 416 669 252 599 524 237 13 1022 529 194 104 972 29')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.2483697593320695)","('test_acc', 0.2769808743169399)","('test_f1', 0.2869329059388078)","('test_prec', 0.34699841325885716)","('test_reca', 0.2769808743169399)","('test_roc', 0.6455537113287132)","('mean_train_loss', 2.5180481672286987)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.2443797993659973)","('val_acc', 0.2834375)","('val_f1', 0.29357051501676795)","('val_prec', 0.35627068866050726)","('val_reca', 0.2834375)","('val_roc', 0.6476158770161291)","('pytorch_total_params', 66849)","('train_time', 3937.110969543457)","('best_epoch', 1343)","('experiment_id', '2234')","('train_samples', '766 917')","('val_samples', '691 301 117 606 1187 302 558 685 954 1192 304 646 448 453 502 220 341 1104 377 562 221 95 859 612 328 79 208 80 1048 565 479 564 416 400 986 896 1108 1080 540 796 1170 857 785 989 1018 920 515 661 467 1075 743 973 279 74 877 856 1017 594 191 336 1 511 808 559 1055 1145 229 358 329 987 1047 238 272 630 1180 428 311 1177 417 938 666 1129 363 131 112 115 14 76 425 397 163 298 78 157 332 922 491 495 870 259')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.268588656501909)","('test_acc', 0.2625512295081967)","('test_f1', 0.2823860544946856)","('test_prec', 0.38733792701196323)","('test_reca', 0.26255122950819676)","('test_roc', 0.6355214252598965)","('mean_train_loss', 2.533308506011963)","('train_acc', 0.984375)","('train_f1', 0.9833333333333334)","('train_prec', 0.9895833333333333)","('train_reca', 0.984375)","('train_roc', 1.0)","('mean_val_loss', 3.2672213530540466)","('val_acc', 0.2615625)","('val_f1', 0.2853173004703482)","('val_prec', 0.40019953335623865)","('val_reca', 0.26156250000000003)","('val_roc', 0.6371245967741936)","('pytorch_total_params', 66849)","('train_time', 788.1775054931641)","('best_epoch', 195)","('experiment_id', '3374')","('train_samples', '929 1070')","('val_samples', '521 472 328 1126 740 584 1121 663 1177 800 1023 490 957 570 918 747 1088 64 1077 476 360 91 430 1175 396 190 1129 491 150 995 349 100 768 8 151 346 892 324 577 223 377 849 751 762 581 1164 1076 725 232 597 322 124 1069 711 87 805 965 1096 655 940 769 138 73 1037 1079 840 1016 707 1033 116 412 48 844 77 143 425 258 724 544 1162 1135 261 790 1010 303 120 811 272 353 869 171 30 371 470 207 842 103 733 149 681')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.2736625187166837)","('test_acc', 0.2517645719489982)","('test_f1', 0.26833907488992736)","('test_prec', 0.3612060476889467)","('test_reca', 0.25176457194899815)","('test_roc', 0.6380521257896323)","('mean_train_loss', 2.5333478450775146)","('train_acc', 0.984375)","('train_f1', 0.9833333333333334)","('train_prec', 0.9895833333333333)","('train_reca', 0.984375)","('train_roc', 1.0)","('mean_val_loss', 3.2744316387176515)","('val_acc', 0.2496875)","('val_f1', 0.2697998921603052)","('val_prec', 0.3590389418378327)","('val_reca', 0.2496875)","('val_roc', 0.6344519153225807)","('pytorch_total_params', 66849)","('train_time', 3536.345229625702)","('best_epoch', 1126)","('experiment_id', '4514')","('train_samples', '467 1101')","('val_samples', '1078 1066 63 841 738 311 1172 316 642 507 638 303 621 800 1076 440 313 363 39 850 1083 1100 938 1151 457 406 485 701 812 868 343 874 115 1017 561 865 572 106 1153 366 73 538 287 12 687 587 740 972 253 995 304 122 114 331 949 324 582 217 1014 364 395 224 195 237 599 956 667 89 307 1068 1158 717 947 613 238 169 1059 514 1157 268 266 894 337 468 892 962 357 754 483 743 80 350 1146 611 1050 325 72 933 880 131')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.239900592246342)","('test_acc', 0.2906420765027322)","('test_f1', 0.2973586352232875)","('test_prec', 0.3733296747976706)","('test_reca', 0.2906420765027322)","('test_roc', 0.6570589481864317)","('mean_train_loss', 2.56402587890625)","('train_acc', 0.953125)","('train_f1', 0.95)","('train_prec', 0.96875)","('train_reca', 0.953125)","('train_roc', 0.9972278225806451)","('mean_val_loss', 3.2285190749168398)","('val_acc', 0.3034375)","('val_f1', 0.3098186652344974)","('val_prec', 0.38987011717650705)","('val_reca', 0.3034375)","('val_roc', 0.6603761088709679)","('pytorch_total_params', 66849)","('train_time', 2113.971254825592)","('best_epoch', 551)","('experiment_id', '6794')","('train_samples', '554 537')","('val_samples', '237 687 288 241 998 819 530 702 730 635 557 471 430 277 28 309 184 1103 506 304 268 1050 1105 352 534 502 147 92 933 728 851 422 1163 317 108 798 261 245 901 756 297 643 321 491 514 1155 412 57 67 64 976 727 395 1196 1119 601 680 1026 1135 751 350 453 41 786 63 1108 771 254 14 995 1123 54 934 351 62 406 344 69 1023 929 991 701 923 1162 75 484 772 1088 750 1004 249 260 259 1120 591 1091 860 1055 322 68')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.2911907236867046)","('test_acc', 0.23155737704918034)","('test_f1', 0.24857472470589553)","('test_prec', 0.3119253747304618)","('test_reca', 0.23155737704918034)","('test_roc', 0.6045196268774287)","('mean_train_loss', 2.5333956480026245)","('train_acc', 0.984375)","('train_f1', 0.9833333333333334)","('train_prec', 0.9895833333333333)","('train_reca', 0.984375)","('train_roc', 0.997983870967742)","('mean_val_loss', 3.2921470165252686)","('val_acc', 0.2265625)","('val_f1', 0.24566699594005342)","('val_prec', 0.3093551520962048)","('val_reca', 0.2265625)","('val_roc', 0.6120548387096774)","('pytorch_total_params', 66849)","('train_time', 2491.4120242595673)","('best_epoch', 660)","('experiment_id', '7934')","('train_samples', '465 631')","('val_samples', '166 1160 320 407 305 113 757 110 523 519 702 1068 739 725 1067 198 926 1055 544 778 179 182 156 1117 663 108 639 743 28 415 1048 644 767 753 707 1154 130 141 700 964 103 306 937 987 393 592 77 997 44 949 890 169 732 942 968 788 749 645 587 178 383 205 121 1170 1188 694 1029 139 1130 561 386 1006 271 792 989 38 755 881 829 773 136 1199 375 769 557 913 615 857 653 294 818 863 395 1087 1113 284 947 216 34 254')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.309996093340042)","('test_acc', 0.21826616575591987)","('test_f1', 0.22880334353692944)","('test_prec', 0.30238909134419956)","('test_reca', 0.21826616575591984)","('test_roc', 0.6000432223786423)","('mean_train_loss', 2.5487791299819946)","('train_acc', 0.96875)","('train_f1', 0.9666666666666666)","('train_prec', 0.9791666666666666)","('train_reca', 0.96875)","('train_roc', 0.9982358870967742)","('mean_val_loss', 3.311656901836395)","('val_acc', 0.2190625)","('val_f1', 0.23039211218019653)","('val_prec', 0.31126641654768594)","('val_reca', 0.2190625)","('val_roc', 0.5956682459677419)","('pytorch_total_params', 66849)","('train_time', 1249.022768497467)","('best_epoch', 310)","('experiment_id', '11354')","('train_samples', '1103 180')","('val_samples', '575 513 991 20 1138 996 206 689 638 137 758 412 454 833 493 599 487 306 736 1011 448 354 640 715 729 838 580 725 876 911 498 1140 241 1032 686 407 481 449 733 514 245 202 1145 89 439 409 431 702 718 333 927 24 750 793 908 860 566 891 214 393 557 1170 434 1124 1166 902 1055 967 1052 140 982 14 426 1173 618 21 943 692 790 345 66 1117 639 350 585 840 1046 727 104 147 786 298 344 961 871 359 1031 587 935 799')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.2740180097208214)","('test_acc', 0.2557490892531876)","('test_f1', 0.27803076424248274)","('test_prec', 0.39047156233391334)","('test_reca', 0.2557490892531876)","('test_roc', 0.6390522209701394)","('mean_train_loss', 2.5335291624069214)","('train_acc', 0.984375)","('train_f1', 0.9833333333333334)","('train_prec', 0.9895833333333333)","('train_reca', 0.984375)","('train_roc', 1.0)","('mean_val_loss', 3.278634729385376)","('val_acc', 0.250625)","('val_f1', 0.26948359484440076)","('val_prec', 0.3821837937634613)","('val_reca', 0.250625)","('val_roc', 0.6350229838709678)","('pytorch_total_params', 66849)","('train_time', 497.3744442462921)","('best_epoch', 204)","('experiment_id', '5654')","('train_samples', '359 631')","('val_samples', '155 85 1152 618 1049 194 465 532 812 725 1091 983 343 675 484 187 639 195 784 968 409 1062 1129 233 285 739 897 21 620 737 210 926 433 1107 1100 265 777 564 929 762 382 292 1046 372 899 729 944 951 133 307 78 1070 218 142 225 588 870 200 249 60 135 337 1012 224 254 146 120 130 154 861 906 701 843 638 182 1053 503 92 173 910 228 862 509 1011 1126 132 101 578 931 124 974 1050 1183 962 998 271 563 567 110 649')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.2568808092662764)","('test_acc', 0.2686703096539162)","('test_f1', 0.2852198711376756)","('test_prec', 0.35594427681900187)","('test_reca', 0.26867030965391625)","('test_roc', 0.625001506740404)","('mean_train_loss', 2.5333845615386963)","('train_acc', 0.984375)","('train_f1', 0.9833333333333334)","('train_prec', 0.9895833333333333)","('train_reca', 0.984375)","('train_roc', 0.9969758064516129)","('mean_val_loss', 3.250310950279236)","('val_acc', 0.2778125)","('val_f1', 0.29533347205615346)","('val_prec', 0.3683816902315798)","('val_reca', 0.2778125)","('val_roc', 0.6264328125)","('pytorch_total_params', 66849)","('train_time', 1608.7088873386383)","('best_epoch', 705)","('experiment_id', '9074')","('train_samples', '1183 450')","('val_samples', '963 676 980 360 577 265 1129 1153 346 1179 261 1182 344 332 123 127 26 1029 943 138 969 98 1119 1137 409 1188 933 280 678 1035 870 1105 937 230 1000 94 458 640 374 275 1115 405 856 331 10 741 584 166 258 232 687 661 133 601 1138 72 1019 839 209 669 616 248 955 843 358 150 15 131 892 890 771 1111 171 557 386 135 117 488 402 998 431 459 160 607 120 782 677 295 877 992 382 430 1080 659 1126 356 565 1085 795 808')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 3.261997092182736)","('test_acc', 0.26679189435336975)","('test_f1', 0.2920153573110579)","('test_prec', 0.3962344613374294)","('test_reca', 0.26679189435336975)","('test_roc', 0.6424473051073262)","('mean_train_loss', 2.5487523078918457)","('train_acc', 0.96875)","('train_f1', 0.9666666666666666)","('train_prec', 0.9791666666666666)","('train_reca', 0.96875)","('train_roc', 0.998991935483871)","('mean_val_loss', 3.2590448021888734)","('val_acc', 0.27125)","('val_f1', 0.29611724670885964)","('val_prec', 0.4028413411671756)","('val_reca', 0.27125)","('val_roc', 0.6436805443548387)","('pytorch_total_params', 66849)","('train_time', 1117.6457812786102)","('best_epoch', 399)","('experiment_id', '10214')","('train_samples', '215 7')","('val_samples', '689 1121 1091 1188 1171 908 731 154 673 353 750 793 343 197 832 330 631 161 250 1174 576 694 317 684 657 1041 393 85 1032 262 1136 1090 1029 99 887 240 114 533 390 54 60 316 812 645 9 143 1110 913 915 359 1117 744 638 1023 381 736 947 574 192 816 810 403 871 462 103 845 876 725 864 756 355 1027 653 268 140 380 790 188 413 659 544 98 627 1036 1099 795 397 387 937 573 884 204 806 941 475 22 1034 166 257 607')"
