eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params,train_time,best_epoch
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.19099531355856)","('test_acc', 0.32885986380080867)","('test_f1', 0.25625936973303987)","('test_prec', 0.2752346887076734)","('test_reca', 0.32885986380080867)","('test_roc', 0.7701478066396601)","('pytorch_total_params', 6309)","('train_time', 492.5556116104126)","('best_epoch', 1039)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.4657436814250326)","('test_acc', 0.03125)","('test_f1', 0.001893939393939394)","('test_prec', 0.0009765625)","('test_reca', 0.03125)","('test_roc', 0.4915204067990313)","('pytorch_total_params', 6309)","('train_time', 14.353341102600098)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8571311946015685)","('test_acc', 0.6746049691423707)","('test_f1', 0.6146225021988548)","('test_prec', 0.5944001157656069)","('test_reca', 0.6746049691423708)","('test_roc', 0.9557570196221474)","('pytorch_total_params', 6309)","('train_time', 411.29240798950195)","('best_epoch', 853)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.930374117373507)","('test_acc', 0.6027412747393063)","('test_f1', 0.5745218203501604)","('test_prec', 0.6279179833941646)","('test_reca', 0.6027412747393063)","('test_roc', 0.9397504601254637)","('pytorch_total_params', 6309)","('train_time', 396.34152030944824)","('best_epoch', 827)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.805456743186574)","('test_acc', 0.7328021919557353)","('test_f1', 0.6922997159358941)","('test_prec', 0.6938035279989359)","('test_reca', 0.7328021919557353)","('test_roc', 0.9601204389589203)","('pytorch_total_params', 6309)","('train_time', 192.26561212539673)","('best_epoch', 384)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.465728907768816)","('test_acc', 0.03132315386252394)","('test_f1', 0.0022192563577398037)","('test_prec', 0.007277774116884985)","('test_reca', 0.03132315386252394)","('test_roc', 0.5241028670972608)","('pytorch_total_params', 6309)","('train_time', 14.336122035980225)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.4657399074197652)","('test_acc', 0.03125)","('test_f1', 0.001893939393939394)","('test_prec', 0.0009765625)","('test_reca', 0.03125)","('test_roc', 0.5095626013248009)","('pytorch_total_params', 6309)","('train_time', 14.269731283187866)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8440949522857846)","('test_acc', 0.6827449989359439)","('test_f1', 0.6558451415706232)","('test_prec', 0.6468228060712315)","('test_reca', 0.6827449989359438)","('test_roc', 0.9595165592129943)","('pytorch_total_params', 6309)","('train_time', 285.1735143661499)","('best_epoch', 589)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.731783460748782)","('test_acc', 0.7983214513726324)","('test_f1', 0.7513951402621051)","('test_prec', 0.7528784698696507)","('test_reca', 0.7983214513726324)","('test_roc', 0.9782987133998373)","('pytorch_total_params', 6309)","('train_time', 336.09814500808716)","('best_epoch', 687)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.16)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.4657380994671736)","('test_acc', 0.03125)","('test_f1', 0.001899169037765132)","('test_prec', 0.0009793435417931053)","('test_reca', 0.03125)","('test_roc', 0.5068438041596682)","('pytorch_total_params', 6309)","('train_time', 13.910998344421387)","('best_epoch', 1)"
